scheduled_dep_time,distance,weather_delay,dep_hour,dep_minute,carrier,carrier_encoded
1375,738,0.2009084661245833,13,75,AA,0
1639,1467,6.64980600000977,16,39,AA,0
1856,878,2.4895066823514043,18,56,AA,0
1996,1491,0.7913176084630641,19,96,AA,0
1332,218,17.586636572570995,13,32,AA,0
123,371,4.451475128585772,1,23,AA,0
1836,1933,2.0027126038050094,18,36,AA,0
1009,2073,8.660715037614821,10,9,AA,0
1749,571,23.552342473317,17,49,AA,0
1715,2568,4.479453142551432,17,15,AA,0
644,2645,1.7710558189712495,6,44,AA,0
1248,2636,3.508538174232968,12,48,AA,0
64,239,13.593251953198164,0,64,AA,0
777,2299,0.6710079094715442,7,77,AA,0
558,1066,4.608877707568656,5,58,AA,0
2057,1445,10.029271647403036,20,57,AA,0
1529,1275,1.8384001948110704,15,29,AA,0
359,1517,0.92980580650516,3,59,AA,0
1186,2480,3.9471678737833487,11,86,AA,0
2132,2891,16.449894606755894,21,32,AA,0
1779,1784,3.443787703054501,17,79,AA,0
265,2656,0.9094998908944072,2,65,AA,0
1401,2038,5.625338909492649,14,1,AA,0
1597,900,2.366267299155956,15,97,AA,0
635,809,11.504206238548305,6,35,AA,0
303,842,4.68456803182327,3,3,AA,0
493,434,5.218845897979118,4,93,AA,0
1645,1586,5.057716982976207,16,45,AA,0
2362,1866,3.1792523533075863,23,62,AA,0
256,1616,10.650061964962545,2,56,AA,0
961,2553,1.3685217939669188,9,61,AA,0
2348,2223,15.16998324798806,23,48,AA,0
1244,1532,1.0827816699490924,12,44,AA,0
469,1393,13.202737889019344,4,69,AA,0
2042,1642,0.1992779383949352,20,42,AA,0
2312,2614,0.2643763997176788,23,12,AA,0
476,461,14.710711955354602,4,76,AA,0
1173,1230,16.703402729777366,11,73,AA,0
645,1366,4.170299497162701,6,45,AA,0
2091,1800,6.962464349474349,20,91,AA,0
668,485,12.612785406033368,6,68,AA,0
1334,1472,2.660141450187476,13,34,AA,0
1123,1870,0.3662435225800297,11,23,AA,0
398,2038,13.985098241389068,3,98,AA,0
394,1727,0.4579282998341247,3,94,AA,0
1682,2625,16.855319281164796,16,82,AA,0
731,288,2.741352607284891,7,31,AA,0
732,1579,25.08927425848128,7,32,AA,0
124,2792,2.272041777738393,1,24,AA,0
1599,1509,4.414334412369968,15,99,AA,0
624,1181,6.52203878568574,6,24,AA,0
1028,428,0.982253096222054,10,28,AA,0
1785,366,3.755335887823574,17,85,AA,0
2034,1799,1.1682270216706852,20,34,AA,0
1685,2121,20.532154127982302,16,85,AA,0
1015,479,0.3476137386623958,10,15,AA,0
1581,1726,12.891517716785666,15,81,AA,0
2289,1148,1.4792092117986269,22,89,AA,0
2094,656,1.98805901954323,20,94,AA,0
862,2967,20.46755387887697,8,62,AA,0
442,1428,0.9005668122049243,4,42,AA,0
2380,2931,0.2474891158959275,23,80,AA,0
2022,1538,10.392875966993572,20,22,AA,0
769,2476,9.4678510816711,7,69,AA,0
579,2175,1.654240174497959,5,79,AA,0
532,1449,6.2118317937787655,5,32,AA,0
1785,1777,0.0557980787923048,17,85,AA,0
1004,1435,3.012585131911733,10,4,AA,0
79,307,3.367769874389399,0,79,AA,0
1218,2116,9.171867216265449,12,18,AA,0
2155,1856,26.20835798015912,21,55,AA,0
828,1973,1.8175377463025977,8,28,AA,0
2102,2383,1.56107115803919,21,2,AA,0
681,2182,9.531941146698756,6,81,AA,0
1824,342,3.7087184962729776,18,24,AA,0
790,2580,0.5530623707089313,7,90,AA,0
1734,2925,20.181376968437533,17,34,AA,0
2108,2199,0.4425053678251999,21,8,AA,0
218,2824,10.39496821151616,2,18,AA,0
1946,1991,4.609641512553343,19,46,AA,0
566,1492,3.804066400849592,5,66,AA,0
1324,357,10.35733983415248,13,24,AA,0
825,1745,2.5605757193044623,8,25,AA,0
2012,2525,15.522399133133597,20,12,AA,0
1588,303,1.163390267979649,15,88,AA,0
932,1659,0.4034765558612581,9,32,AA,0
2295,1873,11.035222398668449,22,95,AA,0
1721,737,4.168354405703659,17,21,AA,0
442,321,1.6201140448417537,4,42,AA,0
473,2360,9.85062796640054,4,73,AA,0
2007,1573,5.425934231532885,20,7,AA,0
1986,2405,2.8081914144541527,19,86,AA,0
1004,2945,5.684081943590289,10,4,AA,0
426,1138,4.289503264217234,4,26,AA,0
1164,2977,13.98472095705464,11,64,AA,0
1324,2735,0.4139031004572948,13,24,AA,0
1906,1615,5.2037378015942455,19,6,AA,0
2239,636,9.96694678304847,22,39,AA,0
2210,2396,2.785156919576632,22,10,AA,0
2132,1853,0.6899840465539585,21,32,AA,0
74,1746,3.051533623528851,0,74,AA,0
346,749,24.156504878041567,3,46,AA,0
972,2190,7.031391399541874,9,72,AA,0
1078,2596,0.1292164385696079,10,78,AA,0
18,686,0.9461325115849256,0,18,AA,0
424,2404,0.2130166373855806,4,24,AA,0
973,459,22.90685728967883,9,73,AA,0
1778,1004,5.750639346098696,17,78,AA,0
158,2976,0.5481516094846355,1,58,AA,0
409,972,2.505566889086385,4,9,AA,0
1715,2365,1.9969847507587148,17,15,AA,0
1433,1332,5.36840151250536,14,33,AA,0
1750,964,6.629012091654741,17,50,AA,0
1482,1390,0.5611047361845788,14,82,AA,0
609,2220,7.769228501101337,6,9,AA,0
2179,2527,10.592062633795456,21,79,AA,0
273,841,3.34253841642719,2,73,AA,0
1201,1615,7.9756410814566525,12,1,AA,0
1447,2787,1.2788346567920352,14,47,AA,0
1407,2258,9.894073132020832,14,7,AA,0
2311,2718,1.313743805210717,23,11,AA,0
1404,1601,0.570359074538206,14,4,AA,0
806,1568,7.659492818975414,8,6,AA,0
2364,1925,8.142759420660672,23,64,AA,0
1936,1894,5.69942007282282,19,36,AA,0
1257,1480,6.583243281415302,12,57,AA,0
956,1759,1.011822383641743,9,56,AA,0
2380,506,8.848760848325524,23,80,AA,0
1183,1776,4.8896541717148105,11,83,AA,0
1028,2384,4.204961649729005,10,28,AA,0
1171,2887,3.310482607861976,11,71,AA,0
2333,1466,0.9765984944300764,23,33,AA,0
1627,2695,7.310910749674582,16,27,AA,0
303,848,1.512789314765791,3,3,AA,0
1510,888,2.671051408129573,15,10,AA,0
1343,525,12.20786730609066,13,43,AA,0
159,2897,0.6182504567946591,1,59,AA,0
2294,2247,0.0285678462762837,22,94,AA,0
973,853,0.3122628684924973,9,73,AA,0
211,502,14.82764291721319,2,11,AA,0
383,959,8.175251825278705,3,83,AA,0
1326,2032,1.1471039928024584,13,26,AA,0
1116,1065,10.203792021831628,11,16,AA,0
1526,2361,0.0960237873003327,15,26,AA,0
2243,1737,9.702917097008308,22,43,AA,0
1112,1046,7.092131218152138,11,12,AA,0
2169,1486,5.848937176215898,21,69,AA,0
384,711,9.141349278856246,3,84,AA,0
1483,1016,1.5991392763159686,14,83,AA,0
1138,2645,0.2767422697793592,11,38,AA,0
1718,1425,5.198733192254287,17,18,AA,0
1345,344,5.084206279247168,13,45,AA,0
2362,2009,5.148961176032745,23,62,AA,0
2147,1468,7.971242792042751,21,47,AA,0
147,2444,0.531515459420844,1,47,AA,0
1508,499,2.488149474223343,15,8,AA,0
613,588,5.666414248735235,6,13,AA,0
1250,896,3.2895960679168863,12,50,AA,0
68,1930,2.392770618980781,0,68,AA,0
2325,339,2.522199686338133,23,25,AA,0
662,1326,0.4995035172125124,6,62,AA,0
800,416,4.475255196128604,8,0,AA,0
1559,793,3.158952290940216,15,59,AA,0
440,2270,2.2832035360911727,4,40,AA,0
1611,854,3.88398550010106,16,11,AA,0
1172,1140,1.958494971687384,11,72,AA,0
1392,1602,1.2215545287501095,13,92,AA,0
1006,2847,1.6680410764793914,10,6,AA,0
277,1531,11.543154217805313,2,77,AA,0
1525,2577,6.751813610765939,15,25,AA,0
2202,1114,3.056633672111426,22,2,AA,0
427,1052,7.44354731642031,4,27,AA,0
522,2635,0.2391122008751612,5,22,AA,0
1995,1025,0.9627623008490752,19,95,AA,0
484,1557,4.739749995672725,4,84,AA,0
1184,2815,3.0727859246331146,11,84,AA,0
689,1259,1.782651632848539,6,89,AA,0
1941,2029,1.1792982644517451,19,41,AA,0
2080,2661,0.8188498098560584,20,80,AA,0
1197,2103,5.401495060792099,11,97,AA,0
934,2921,5.2627575609176,9,34,AA,0
1890,961,1.0756552634999332,18,90,AA,0
2154,771,4.50390473590045,21,54,AA,0
787,736,2.393650390096289,7,87,AA,0
878,943,0.3049601585732695,8,78,AA,0
2103,1622,21.69291665640068,21,3,AA,0
1075,760,0.9089134011545964,10,75,AA,0
1376,2062,2.97400539128796,13,76,AA,0
789,2287,2.459147072336187,7,89,AA,0
1584,794,6.452268954899358,15,84,AA,0
1289,1707,1.8707903029159367,12,89,AA,0
1949,658,10.401393642936776,19,49,AA,0
354,638,1.983650551966274,3,54,AA,0
173,756,6.349904974453461,1,73,AA,0
2228,967,2.349889926797792,22,28,AA,0
400,1365,12.477721314485834,4,0,AA,0
131,618,0.795966909955885,1,31,AA,0
2056,2997,2.4286709154600974,20,56,AA,0
1637,2795,9.681228010805492,16,37,AA,0
849,1632,6.051967802360028,8,49,AA,0
1873,944,6.448089951840812,18,73,AA,0
2153,1582,6.6550916312904445,21,53,AA,0
276,1116,0.5989959505410956,2,76,AA,0
2084,2389,1.4567387021506406,20,84,AA,0
1210,2273,0.6023035162785089,12,10,AA,0
1347,894,6.787895969014085,13,47,AA,0
2238,2544,7.590085200146128,22,38,AA,0
1424,927,2.1370402395110086,14,24,AA,0
838,1549,9.158325497783975,8,38,AA,0
515,2595,0.2304014069164836,5,15,AA,0
1679,1089,0.6246087375487496,16,79,AA,0
1962,337,0.0287678349558021,19,62,AA,0
1911,2377,1.707326702825811,19,11,AA,0
1483,253,4.402396972104609,14,83,AA,0
181,2497,1.9095540351896847,1,81,AA,0
1248,876,10.829844977453153,12,48,AA,0
1443,2983,2.400689767579297,14,43,AA,0
1019,1699,1.0149521245930668,10,19,AA,0
1660,295,0.3052115432774876,16,60,AA,0
1422,1283,4.215668224238042,14,22,AA,0
532,1037,2.034926705593429,5,32,AA,0
463,1643,0.5954237489339551,4,63,AA,0
425,785,0.6896365668880766,4,25,AA,0
569,2610,0.1576875390967925,5,69,AA,0
11,774,1.1595421274166822,0,11,AA,0
1062,1511,0.2951638037772831,10,62,AA,0
1355,342,1.5995946123794993,13,55,AA,0
1933,748,0.4045152429243642,19,33,AA,0
973,2882,11.409663701554464,9,73,AA,0
1652,497,4.9755013861539386,16,52,AA,0
490,2613,7.791404517295152,4,90,AA,0
921,2660,0.7921958610130281,9,21,AA,0
1713,1173,5.889076467222209,17,13,AA,0
217,252,7.121783270484871,2,17,AA,0
2337,594,11.514664128403112,23,37,AA,0
2385,847,3.9407214703827433,23,85,AA,0
161,2559,3.1107189281856384,1,61,AA,0
1551,1540,0.4290217278986741,15,51,AA,0
431,971,1.008185626995251,4,31,AA,0
2155,2502,1.806685171612188,21,55,AA,0
1952,2916,11.312142872352444,19,52,AA,0
1115,2268,9.725121833676624,11,15,AA,0
1291,542,2.674135277955829,12,91,AA,0
1204,673,7.9370677914988494,12,4,AA,0
2248,2435,2.221994141408764,22,48,AA,0
1282,2382,3.671546758841251,12,82,AA,0
876,2771,7.8121821772834945,8,76,AA,0
1587,360,3.3000099738847,15,87,AA,0
362,2957,4.341837935240348,3,62,AA,0
36,2521,0.8745966409337081,0,36,AA,0
1490,287,4.589162868837816,14,90,AA,0
1968,669,4.551931959439322,19,68,AA,0
2202,986,0.4858271417760212,22,2,AA,0
1202,2380,0.9410550690640642,12,2,AA,0
1196,1572,0.4530690537964204,11,96,AA,0
509,1522,14.295176578369135,5,9,AA,0
1994,616,0.4078495712927582,19,94,AA,0
296,2452,3.2944000543324936,2,96,AA,0
1794,902,14.169634769893513,17,94,AA,0
1011,1486,2.716955530234215,10,11,AA,0
114,351,3.4968468805281856,1,14,AA,0
1855,1580,12.214861348340555,18,55,AA,0
945,2654,8.083098846500068,9,45,AA,0
534,1719,9.615199966975778,5,34,AA,0
392,2440,1.3730413101489345,3,92,AA,0
800,767,2.4215743473433733,8,0,AA,0
1482,503,1.726110957904068,14,82,AA,0
2140,2819,1.1444773821362992,21,40,AA,0
591,1524,1.2637312520281756,5,91,AA,0
1402,1174,1.0432469137971865,14,2,AA,0
279,330,0.5085795245720279,2,79,AA,0
1546,1999,4.752637779482151,15,46,AA,0
1438,2951,5.709536688529512,14,38,AA,0
1532,2040,0.2736079931088443,15,32,AA,0
664,385,0.0330260165975312,6,64,AA,0
213,686,5.2270722693821225,2,13,AA,0
1422,1083,1.69865296746339,14,22,AA,0
67,998,4.080682080882176,0,67,AA,0
22,768,5.051527151592889,0,22,AA,0
2153,1897,0.2903590918980445,21,53,AA,0
627,554,0.8690685826622063,6,27,AA,0
62,1331,6.8905650708260255,0,62,AA,0
1823,2049,0.8216065356845325,18,23,AA,0
596,990,5.128187484805835,5,96,AA,0
178,2462,1.366921381853733,1,78,AA,0
1619,2835,21.28537295289261,16,19,AA,0
1656,1323,2.357717211185376,16,56,AA,0
1618,1501,0.2424377462603648,16,18,AA,0
562,498,9.584027451475526,5,62,AA,0
883,923,6.246718529391096,8,83,AA,0
1234,986,0.3442805158019258,12,34,AA,0
695,1193,1.3553002373653205,6,95,AA,0
1217,219,8.613274165424686,12,17,AA,0
1962,2285,2.0205990805042613,19,62,AA,0
119,575,11.579767570077076,1,19,AA,0
1884,749,9.580739833941005,18,84,AA,0
2115,813,1.9584799241229125,21,15,AA,0
79,2293,1.806900026450342,0,79,AA,0
2024,1178,3.415883936839557,20,24,AA,0
210,1508,1.1976229378351335,2,10,AA,0
976,1417,4.806675525870935,9,76,AA,0
2369,350,4.859850463307227,23,69,AA,0
918,1881,5.408015689790044,9,18,AA,0
800,1376,2.840573722734688,8,0,AA,0
